,from_link,from_name,funding_sources,op_approved_to_project,op_claimed,op_deployed,op_from_other_projects,op_to_project,p1,p2,p3,pct_allocated_approved,pct_approved_to_project,pct_claimed_to_project,pct_deployed_claimed,pct_to_project_deployed,program_status,proposal_links,total_op_allocated,last_updated
59,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Candide%20Wallet"" target=""_blank"">Candide Wallet</a>",Candide Wallet,Governance - Season 1,190000.0,69366,69366,0,190000,|,|,|,1.0,1.0,0.3650842105263158,1,0.3650842105263158,Not Launched,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-candide-wallet/2656"" target=""_blank"">Link</a>",190000,2023-02-13 19:59:42.933427+00:00
60,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Superfluid"" target=""_blank"">Superfluid</a>",Superfluid,Governance - Season 1,150000.0,0,0,0,0,|,|,|,1.0,0.0,NaN,NaN,NaN,Not Launched,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-superfluid/2314"" target=""_blank"">Link</a>",150000,2023-02-13 19:59:42.933427+00:00
61,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=EthernautDAO"" target=""_blank"">EthernautDAO</a>",EthernautDAO,Governance - Season 2,120000.0,16350,16350,0,120000,|,|,|,1.0,1.0,0.13625,1,0.13625,Live Program,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x05126c50a6227f339b64d712e6bf070c769f410bcd7cdbe62ba6493ab49b08e6"" target=""_blank"">Link</a>",120000,2023-02-13 19:59:42.933427+00:00
62,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Boardroom"" target=""_blank"">Boardroom</a>",Boardroom,Governance - Season 1,99999.99999999999,92000,92000,0,100000,|,|,|,0.9999999999999999,1.0000000000000002,0.92,1,0.92,Not Launched,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-boardroom/2978"" target=""_blank"">Link</a>",100000,2023-02-13 19:59:42.933427+00:00
63,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Mochi"" target=""_blank"">Mochi</a>",Mochi,Governance - Season 2,100000.0,0,0,0,100000,|,|,|,1.0,1.0,0,NaN,0,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x2a7436c5bebeaee1a369e484a212a183da549dfce0393d6dc1f84837e8c5c79d"" target=""_blank"">Link</a>",100000,2023-02-13 19:59:42.933427+00:00
64,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Insuredao"" target=""_blank"">Insuredao</a>",Insuredao,Governance - Season 2,0.0,0,0,0,0,|,|,|,,,,,,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x8160b000b3c2977889daf8ea63a7ead186efde83376c00e9dac3269fb4dcd544"" target=""_blank"">Link</a>",100000,2023-02-13 19:59:42.933427+00:00
65,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=OptiChads"" target=""_blank"">OptiChads</a>",OptiChads,Governance - Season 2,50114.0,51655,51655,0,50114,|,|,|,1.00228,1.0,1.0307498902502295,1,1.0307498902502295,Live Program,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-optichads-nft-project/3430"" target=""_blank"">Link</a>",50000,2023-02-13 19:59:42.933427+00:00
66,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Otterspace"" target=""_blank"">Otterspace</a>",Otterspace,Governance - Season 2,49999.99999999999,7000,7000,0,50000,|,|,|,0.9999999999999999,1.0000000000000002,0.14,1,0.14,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x36d5040034131d5a52e9c482e149dde4d5b3083dce8b9eb990d07d9d99b927b4"" target=""_blank"">Link</a>",50000,2023-02-13 19:59:42.933427+00:00
67,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Agora"" target=""_blank"">Agora</a>",Agora,Governance - Season 2,0.0,0,0,0,0,|,|,|,,,,,,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x474cbf8c806f30d016ea4ca0ad3fb5605391df6a3fa34a1aead7df61a9e4cc28"" target=""_blank"">Link</a>",50000,2023-02-13 19:59:42.933427+00:00
68,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Karma"" target=""_blank"">Karma</a>",Karma,Governance - Season 2,35000.0,25556,25556,0,25000,|,|,|,0.875,0.7142857142857143,1.02224,1,1.02224,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x1720f1321a94a97ba0c23a612d543465cbf6f31aa80c8dc0aa016d6285bd0c03"" target=""_blank"">Link</a>, <a href=""https://snapshot.org/#/opcollective.eth/proposal/0xb6054ed78153c9112cac5dd3fbd234481c9961bfcbf665e645754f2e6c8b286b"" target=""_blank"">Link</a>",40000,2023-02-13 19:59:42.933427+00:00
69,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Bankless"" target=""_blank"">Bankless</a>",Bankless,Governance - Season 2,33000.0,33000,33000,0,33000,|,|,|,1.0,1.0,1,1,1,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0xac7ba616ebee96930f313ddb4b75de9024ff88f17bf3c82ca783d904ab38d551"" target=""_blank"">Link</a>",33000,2023-02-13 19:59:42.933427+00:00
70,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Interest%20Protocol"" target=""_blank"">Interest Protocol</a>",Interest Protocol,Governance - Season 2,31764.0,0,0,0,14630,|,|,|,1.0,0.46058430928094696,0,NaN,0,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x0ddd965be7471ca3d399af6b845791d86c649389e22681df1f62473d01a9a5fd"" target=""_blank"">Link</a>",31764,2023-02-13 19:59:42.933427+00:00
71,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=BlockScout"" target=""_blank"">BlockScout</a>",BlockScout,,150000.0,150000,150000,0,150000,|,|,|,,1.0,1,1,1,,,0,2023-02-13 19:59:42.933427+00:00
72,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Atlantis%20World"" target=""_blank"">Atlantis World</a>",Atlantis World,,113700.0,113701,113701,0,113704,|,|,|,,1.0000351802990326,0.9999736157039331,1,0.9999736157039331,,,0,2023-02-13 19:59:42.933427+00:00
73,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Quix"" target=""_blank"">Quix</a>",Quix,,1000000.0,69014,82149,0,1010054,|,|,|,,1.010054,0.06832703994043883,0.8401076093439969,0.08133129515847667,,,0,2023-02-13 19:59:42.933427+00:00
74,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Market%20Maker%20consultant"" target=""_blank"">Market Maker consultant</a>",Market Maker consultant,,27292.0,27288,27288,0,27292,|,|,|,,1.0,0.9998534369045874,1,0.9998534369045874,,,0,2023-02-13 19:59:42.933427+00:00
75,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=CryptoTesters"" target=""_blank"">CryptoTesters</a>",CryptoTesters,,49999.99999999999,4987,4987,0,4652,|,|,|,,0.09304000000000001,1.07201203783319,1,1.07201203783319,,,0,2023-02-13 19:59:42.933427+00:00
76,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Circle"" target=""_blank"">Circle</a>",Circle,,867303.0,0,0,0,867303,|,|,|,,1.0,0,NaN,0,,,0,2023-02-13 19:59:42.933427+00:00
77,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Outlet"" target=""_blank"">Outlet</a>",Outlet,,599999.9999999999,0,0,0,0,|,|,|,,0.0,NaN,NaN,NaN,,,0,2023-02-13 19:59:42.933427+00:00
78,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Okex"" target=""_blank"">Okex</a>",Okex,,181804.0,0,0,0,181804,|,|,|,,1.0,0,NaN,0,,,0,2023-02-13 19:59:42.933427+00:00
79,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=ETHGlobal"" target=""_blank"">ETHGlobal</a>",ETHGlobal,,127587.0,0,0,0,127587,|,|,|,,1.0,0,NaN,0,,,0,2023-02-13 19:59:42.933427+00:00
